From,To
Zothve (Cristóbal Arróspide),Grell (Jesús Loya)
Zothve (Cristóbal Arróspide),Kiefer (Nicolás Rivero)
Zothve (Cristóbal Arróspide),Pancake (Manuel Scala) (Manuel Scala)
Zothve (Cristóbal Arróspide),Wadid (Kim Bae-in (김배인))
Zothve (Cristóbal Arróspide),Mora (Jake Hammond)
Zothve (Cristóbal Arróspide),Halier (Gabriel Negreiros)
Zothve (Cristóbal Arróspide),Jaeby (Jung Jae-hun (정재훈))
Ruin (Kim Hyeong-min (김형민)),Grell (Jesús Loya)
Ruin (Kim Hyeong-min (김형민)),Kiefer (Nicolás Rivero)
Ruin (Kim Hyeong-min (김형민)),Pancake (Manuel Scala) (Manuel Scala)
Ruin (Kim Hyeong-min (김형민)),Wadid (Kim Bae-in (김배인))
Ruin (Kim Hyeong-min (김형민)),Mora (Jake Hammond)
Ruin (Kim Hyeong-min (김형민)),Halier (Gabriel Negreiros)
Ruin (Kim Hyeong-min (김형민)),Jaeby (Jung Jae-hun (정재훈))
Grell (Jesús Loya),Kiefer (Nicolás Rivero)
Grell (Jesús Loya),Pancake (Manuel Scala) (Manuel Scala)
Grell (Jesús Loya),Wadid (Kim Bae-in (김배인))
Grell (Jesús Loya),Mora (Jake Hammond)
Grell (Jesús Loya),Halier (Gabriel Negreiros)
Grell (Jesús Loya),Jaeby (Jung Jae-hun (정재훈))
Kiefer (Nicolás Rivero),Pancake (Manuel Scala) (Manuel Scala)
Kiefer (Nicolás Rivero),Wadid (Kim Bae-in (김배인))
Kiefer (Nicolás Rivero),Mora (Jake Hammond)
Kiefer (Nicolás Rivero),Halier (Gabriel Negreiros)
Kiefer (Nicolás Rivero),Jaeby (Jung Jae-hun (정재훈))
Pancake (Manuel Scala) (Manuel Scala),Wadid (Kim Bae-in (김배인))
Pancake (Manuel Scala) (Manuel Scala),Mora (Jake Hammond)
Pancake (Manuel Scala) (Manuel Scala),Halier (Gabriel Negreiros)
Pancake (Manuel Scala) (Manuel Scala),Jaeby (Jung Jae-hun (정재훈))
Wadid (Kim Bae-in (김배인)),Mora (Jake Hammond)
Wadid (Kim Bae-in (김배인)),Halier (Gabriel Negreiros)
Wadid (Kim Bae-in (김배인)),Jaeby (Jung Jae-hun (정재훈))
Acce (Emmanuel Juárez),Mightybear (Kim Min-su (김민수))
Acce (Emmanuel Juárez),Leza (Francisco Jara)
Acce (Emmanuel Juárez),Bvoy (Ju Yeong-hoon (주영훈))
Acce (Emmanuel Juárez),Gastruks (Gastón Núñez)
Acce (Emmanuel Juárez),ukFallen (Carlos Calderón)
Mightybear (Kim Min-su (김민수)),Leza (Francisco Jara)
Mightybear (Kim Min-su (김민수)),Bvoy (Ju Yeong-hoon (주영훈))
Mightybear (Kim Min-su (김민수)),Gastruks (Gastón Núñez)
Mightybear (Kim Min-su (김민수)),ukFallen (Carlos Calderón)
Leza (Francisco Jara),Bvoy (Ju Yeong-hoon (주영훈))
Leza (Francisco Jara),Gastruks (Gastón Núñez)
Leza (Francisco Jara),ukFallen (Carlos Calderón)
Bvoy (Ju Yeong-hoon (주영훈)),Gastruks (Gastón Núñez)
Bvoy (Ju Yeong-hoon (주영훈)),ukFallen (Carlos Calderón)
Gastruks (Gastón Núñez),ukFallen (Carlos Calderón)
Jauny (Jauny Vargas),Bugi (Lee Seong-yeop (이성엽))
Jauny (Jauny Vargas),TopLop (Nicolás Marinoni)
Jauny (Jauny Vargas),Erry (Terry Park (박상준))
Jauny (Jauny Vargas),Baula (Alejandro Serrano)
Jauny (Jauny Vargas),Dye (Gerson Castaño)
Bugi (Lee Seong-yeop (이성엽)),TopLop (Nicolás Marinoni)
Bugi (Lee Seong-yeop (이성엽)),Erry (Terry Park (박상준))
Bugi (Lee Seong-yeop (이성엽)),Baula (Alejandro Serrano)
Bugi (Lee Seong-yeop (이성엽)),Dye (Gerson Castaño)
TopLop (Nicolás Marinoni),Erry (Terry Park (박상준))
TopLop (Nicolás Marinoni),Baula (Alejandro Serrano)
TopLop (Nicolás Marinoni),Dye (Gerson Castaño)
Erry (Terry Park (박상준)),Baula (Alejandro Serrano)
Erry (Terry Park (박상준)),Dye (Gerson Castaño)
Baula (Alejandro Serrano),Dye (Gerson Castaño)
Buggax (Mateo Aroztegui),SolidSnake (Diego Vallejo)
Buggax (Mateo Aroztegui),cody (Sebastián Quispe)
Buggax (Mateo Aroztegui),WhiteLotus (Matías Musso)
Buggax (Mateo Aroztegui),Ackerman (Gabriel Aparicio) (Gabriel Aparicio)
Buggax (Mateo Aroztegui),Von (Gabriel Barbosa) (Gabriel Barbosa)
SolidSnake (Diego Vallejo),cody (Sebastián Quispe)
SolidSnake (Diego Vallejo),WhiteLotus (Matías Musso)
SolidSnake (Diego Vallejo),Ackerman (Gabriel Aparicio) (Gabriel Aparicio)
SolidSnake (Diego Vallejo),Von (Gabriel Barbosa) (Gabriel Barbosa)
cody (Sebastián Quispe),WhiteLotus (Matías Musso)
cody (Sebastián Quispe),Ackerman (Gabriel Aparicio) (Gabriel Aparicio)
cody (Sebastián Quispe),Von (Gabriel Barbosa) (Gabriel Barbosa)
WhiteLotus (Matías Musso),Ackerman (Gabriel Aparicio) (Gabriel Aparicio)
WhiteLotus (Matías Musso),Von (Gabriel Barbosa) (Gabriel Barbosa)
Ackerman (Gabriel Aparicio) (Gabriel Aparicio),Von (Gabriel Barbosa) (Gabriel Barbosa)
Zerito (Tomas Colangelo),Tierwulf (Sebastián Mateluna)
Zerito (Tomas Colangelo),Style (Ignacio Pezoa) (Ignacio Pezoa)
Zerito (Tomas Colangelo),Seiya (Édgar Bracamontes)
Zerito (Tomas Colangelo),Warangelus (Fabián Llanos)
Zerito (Tomas Colangelo),Shu Hari (Diego Placencia)
Zerito (Tomas Colangelo),Yeti (Rodrigo del Castillo)
Tierwulf (Sebastián Mateluna),Seiya (Édgar Bracamontes)
Tierwulf (Sebastián Mateluna),Warangelus (Fabián Llanos)
Tierwulf (Sebastián Mateluna),Shu Hari (Diego Placencia)
Tierwulf (Sebastián Mateluna),Yeti (Rodrigo del Castillo)
Style (Ignacio Pezoa) (Ignacio Pezoa),Seiya (Édgar Bracamontes)
Style (Ignacio Pezoa) (Ignacio Pezoa),Warangelus (Fabián Llanos)
Style (Ignacio Pezoa) (Ignacio Pezoa),Shu Hari (Diego Placencia)
Style (Ignacio Pezoa) (Ignacio Pezoa),Yeti (Rodrigo del Castillo)
Seiya (Édgar Bracamontes),Warangelus (Fabián Llanos)
Seiya (Édgar Bracamontes),Shu Hari (Diego Placencia)
Seiya (Édgar Bracamontes),Yeti (Rodrigo del Castillo)
Warangelus (Fabián Llanos),Shu Hari (Diego Placencia)
Warangelus (Fabián Llanos),Yeti (Rodrigo del Castillo)
Shu Hari (Diego Placencia),Yeti (Rodrigo del Castillo)
IceBox (Bastián Almonacid),QQ (Diego Apablaza)
IceBox (Bastián Almonacid),Cotopaco (Sergio Silva)
IceBox (Bastián Almonacid),KRESHTDOO (Nicolás Díaz)
IceBox (Bastián Almonacid),Duivel (Gary Almonacid)
IceBox (Bastián Almonacid),Serenity (Jeong Min-seok (정민석))
IceBox (Bastián Almonacid),MisterG (Lautaro Ulla)
Nipphu (Franco Funes),QQ (Diego Apablaza)
Nipphu (Franco Funes),Cotopaco (Sergio Silva)
Nipphu (Franco Funes),Gavotto (Omar Gavotto)
Nipphu (Franco Funes),Duivel (Gary Almonacid)
Nipphu (Franco Funes),MisterG (Lautaro Ulla)
QQ (Diego Apablaza),Cotopaco (Sergio Silva)
QQ (Diego Apablaza),KRESHTDOO (Nicolás Díaz)
QQ (Diego Apablaza),Gavotto (Omar Gavotto)
QQ (Diego Apablaza),Duivel (Gary Almonacid)
QQ (Diego Apablaza),Serenity (Jeong Min-seok (정민석))
QQ (Diego Apablaza),MisterG (Lautaro Ulla)
Cotopaco (Sergio Silva),KRESHTDOO (Nicolás Díaz)
Cotopaco (Sergio Silva),Gavotto (Omar Gavotto)
Cotopaco (Sergio Silva),Duivel (Gary Almonacid)
Cotopaco (Sergio Silva),Serenity (Jeong Min-seok (정민석))
Cotopaco (Sergio Silva),MisterG (Lautaro Ulla)
KRESHTDOO (Nicolás Díaz),Duivel (Gary Almonacid)
KRESHTDOO (Nicolás Díaz),Serenity (Jeong Min-seok (정민석))
KRESHTDOO (Nicolás Díaz),MisterG (Lautaro Ulla)
Gavotto (Omar Gavotto),Duivel (Gary Almonacid)
Gavotto (Omar Gavotto),MisterG (Lautaro Ulla)
Duivel (Gary Almonacid),MisterG (Lautaro Ulla)
Serenity (Jeong Min-seok (정민석)),MisterG (Lautaro Ulla)
Rey (Jeon Ji-won (전지원)),Xypherz (Santiago de León)
Rey (Jeon Ji-won (전지원)),Oddie (Sebastián Niño)
Rey (Jeon Ji-won (전지원)),Aloned (Tomás Díaz)
Rey (Jeon Ji-won (전지원)),Ceo (Lorenzo Tévez)
Rey (Jeon Ji-won (전지원)),Shadow (Facundo Cuello) (Facundo Cuello)
Rey (Jeon Ji-won (전지원)),Skin (Eduardo Saldaña)
Xypherz (Santiago de León),Aloned (Tomás Díaz)
Xypherz (Santiago de León),Ceo (Lorenzo Tévez)
Xypherz (Santiago de León),Shadow (Facundo Cuello) (Facundo Cuello)
Xypherz (Santiago de León),Skin (Eduardo Saldaña)
Oddie (Sebastián Niño),Aloned (Tomás Díaz)
Oddie (Sebastián Niño),Ceo (Lorenzo Tévez)
Oddie (Sebastián Niño),Shadow (Facundo Cuello) (Facundo Cuello)
Oddie (Sebastián Niño),Skin (Eduardo Saldaña)
Aloned (Tomás Díaz),Ceo (Lorenzo Tévez)
Aloned (Tomás Díaz),Shadow (Facundo Cuello) (Facundo Cuello)
Aloned (Tomás Díaz),Skin (Eduardo Saldaña)
Ceo (Lorenzo Tévez),Shadow (Facundo Cuello) (Facundo Cuello)
Ceo (Lorenzo Tévez),Skin (Eduardo Saldaña)
Shadow (Facundo Cuello) (Facundo Cuello),Skin (Eduardo Saldaña)
JackPoT (Park Jin-soo) (Park Jin-soo (박진수)),Unforgiven (Maximiliano Utrero) (Maximiliano Utrero)
JackPoT (Park Jin-soo) (Park Jin-soo (박진수)),Rainbow (Kim Soo-gi) (Kim Soo-gi (김수기))
JackPoT (Park Jin-soo) (Park Jin-soo (박진수)),Horus (Facundo Utrero)
JackPoT (Park Jin-soo) (Park Jin-soo (박진수)),Nottingham (Alan Spikerman)
JackPoT (Park Jin-soo) (Park Jin-soo (박진수)),Exorant (Daniel Hume)
Unforgiven (Maximiliano Utrero) (Maximiliano Utrero),Rainbow (Kim Soo-gi) (Kim Soo-gi (김수기))
Unforgiven (Maximiliano Utrero) (Maximiliano Utrero),Horus (Facundo Utrero)
Unforgiven (Maximiliano Utrero) (Maximiliano Utrero),Nottingham (Alan Spikerman)
Unforgiven (Maximiliano Utrero) (Maximiliano Utrero),Exorant (Daniel Hume)
Rainbow (Kim Soo-gi) (Kim Soo-gi (김수기)),Horus (Facundo Utrero)
Rainbow (Kim Soo-gi) (Kim Soo-gi (김수기)),Nottingham (Alan Spikerman)
Rainbow (Kim Soo-gi) (Kim Soo-gi (김수기)),Exorant (Daniel Hume)
Horus (Facundo Utrero),Nottingham (Alan Spikerman)
Horus (Facundo Utrero),Exorant (Daniel Hume)
Nottingham (Alan Spikerman),Exorant (Daniel Hume)
Jisu (Park Jin-cheol (박진철)),Grell (Jesús Loya)
Jisu (Park Jin-cheol (박진철)),Kiefer (Nicolás Rivero)
Jisu (Park Jin-cheol (박진철)),Alive (Noh Jin-wook (노진욱))
Jisu (Park Jin-cheol (박진철)),Newbie (Leandro Marcos)
Jisu (Park Jin-cheol (박진철)),VicaL (Kim Sun-mook (김선묵))
Grell (Jesús Loya),Alive (Noh Jin-wook (노진욱))
Grell (Jesús Loya),Newbie (Leandro Marcos)
Grell (Jesús Loya),VicaL (Kim Sun-mook (김선묵))
Kiefer (Nicolás Rivero),Alive (Noh Jin-wook (노진욱))
Kiefer (Nicolás Rivero),Newbie (Leandro Marcos)
Kiefer (Nicolás Rivero),VicaL (Kim Sun-mook (김선묵))
Alive (Noh Jin-wook (노진욱)),Newbie (Leandro Marcos)
Alive (Noh Jin-wook (노진욱)),VicaL (Kim Sun-mook (김선묵))
Newbie (Leandro Marcos),VicaL (Kim Sun-mook (김선묵))
IceBox (Bastián Almonacid),N N (Lucas Leiva)
IceBox (Bastián Almonacid),cody (Sebastián Quispe)
IceBox (Bastián Almonacid),Tyr (Hector Godínez)
N N (Lucas Leiva),cody (Sebastián Quispe)
N N (Lucas Leiva),KRESHTDOO (Nicolás Díaz)
N N (Lucas Leiva),Tyr (Hector Godínez)
N N (Lucas Leiva),MisterG (Lautaro Ulla)
cody (Sebastián Quispe),KRESHTDOO (Nicolás Díaz)
cody (Sebastián Quispe),Tyr (Hector Godínez)
cody (Sebastián Quispe),MisterG (Lautaro Ulla)
KRESHTDOO (Nicolás Díaz),Tyr (Hector Godínez)
Tyr (Hector Godínez),MisterG (Lautaro Ulla)
Jirall (Daniel del Castillo),Oddie (Sebastián Niño)
Jirall (Daniel del Castillo),Seiya (Édgar Bracamontes)
Jirall (Daniel del Castillo),Warangelus (Fabián Llanos)
Jirall (Daniel del Castillo),Slow (Eduardo Garcés)
